EventID	ArrivalGlobalIdx	ArrivalTime_s	X_mm	Y_mm	LocateConf	MaxX	MaxY	DetectConf	HitCount
154	18316539	6.105513	-160.374	181.452	0.746	0.777	0.715	0.979	5
155	18457503	6.152501	127.994	-132.576	0.834	0.821	0.847	0.992	6
156	18472018	6.157339	86.144	-82.478	0.844	0.835	0.852	0.991	2
157	18556883	6.185628	-89.809	-83.394	0.759	0.814	0.704	0.925	6
158	18566530	6.188843	-116.386	122.495	0.825	0.892	0.758	0.990	9
159	18570041	6.190014	-157.625	174.731	0.707	0.779	0.635	0.993	8
160	18619259	6.206420	-114.247	119.440	0.674	0.807	0.541	0.993	2
161	18645084	6.215028	-143.267	121.579	0.746	0.801	0.691	0.936	5
162	18706635	6.235545	-214.443	233.688	0.799	0.791	0.807	0.979	4
163	18710824	6.236941	-156.708	178.702	0.677	0.741	0.613	0.802	7
164	18743163	6.247721	-151.515	168.316	0.762	0.802	0.722	0.989	8
165	18897704	6.299235	-40.323	-14.052	0.801	0.778	0.823	0.991	2
166	18926370	6.308790	84.922	-82.173	0.829	0.851	0.806	0.992	5
167	19054875	6.351625	-214.748	234.299	0.767	0.758	0.775	0.991	6
168	19075901	6.358634	-67.510	-64.150	0.713	0.767	0.659	0.994	3
169	19175251	6.391750	-171.982	181.757	0.599	0.523	0.676	0.959	4
170	19266432	6.422144	110.887	-115.775	0.893	0.888	0.899	0.994	9
171	19301059	6.433686	-97.446	-87.977	0.773	0.847	0.699	0.873	2
172	19304163	6.434721	-70.870	-66.288	0.668	0.842	0.495	0.993	2
173	19367139	6.455713	-114.553	120.968	0.878	0.904	0.853	0.985	10
174	19631089	6.543696	-62.928	-69.037	0.740	0.631	0.849	0.826	2
175	19689633	6.563211	-97.752	-89.504	0.767	0.824	0.710	0.989	7
176	19764123	6.588041	-118.218	126.772	0.827	0.878	0.775	0.993	9
177	19836837	6.612279	-90.115	-83.394	0.729	0.783	0.676	0.982	3
178	19896174	6.632058	-126.466	128.605	0.838	0.855	0.820	0.993	9
179	19944258	6.648086	-91.948	-84.311	0.786	0.838	0.734	0.988	3
180	19999329	6.666443	-153.348	176.564	0.748	0.813	0.683	0.965	6
181	20024732	6.674911	-144.489	128.299	0.889	0.892	0.886	0.991	9
182	20028094	6.676031	117.913	-136.241	0.749	0.664	0.835	0.990	7
183	20146911	6.715637	-65.677	76.063	0.865	0.904	0.826	0.996	4
184	20152108	6.717369	-110.276	120.357	0.681	0.797	0.565	0.995	3
185	20172443	6.724148	-168.316	184.201	0.785	0.795	0.774	0.983	9
186	20209570	6.736523	84.922	-89.198	0.765	0.849	0.682	0.991	6
187	20353586	6.784529	-160.679	178.397	0.655	0.679	0.632	0.990	9
188	20372141	6.790714	-157.319	177.480	0.689	0.724	0.655	0.986	3
189	20479603	6.826534	-156.097	177.175	0.606	0.727	0.484	0.985	3
190	20523950	6.841317	-214.443	234.604	0.804	0.800	0.809	0.966	8
191	20533781	6.844594	-97.141	-91.948	0.711	0.748	0.673	0.983	8
192	20538473	6.846158	-91.337	-80.645	0.726	0.784	0.668	0.989	4
193	20556943	6.852314	-95.613	-90.420	0.661	0.695	0.627	0.960	2
194	20570637	6.856879	-17.107	-32.380	0.824	0.852	0.797	0.825	2
195	20570608	6.856869	235.215	-40.934	0.591	0.748	0.434	0.973	2
196	20573893	6.857964	-65.371	17.412	0.925	0.943	0.906	0.993	8
197	20624508	6.874836	-164.651	179.924	0.602	0.684	0.519	0.894	4
198	20650198	6.883399	83.394	-93.170	0.874	0.874	0.873	0.992	3
199	20661489	6.887163	176.259	-160.374	0.565	0.448	0.681	0.982	3
200	20712683	6.904228	-122.190	127.688	0.876	0.895	0.858	0.994	9
201	20737546	6.912515	-66.899	-65.371	0.715	0.746	0.684	0.990	3
202	20767319	6.922440	-86.449	102.334	0.855	0.905	0.804	0.995	8
203	20788746	6.929582	-79.118	21.994	0.909	0.921	0.897	0.988	9
204	20913149	6.971050	-93.170	-87.977	0.705	0.729	0.680	0.981	3
205	20914390	6.971463	-64.455	38.795	0.909	0.934	0.883	0.993	8
206	20935395	6.978465	-224.829	233.382	0.628	0.521	0.735	0.876	3
207	20940751	6.980250	-157.014	173.815	0.740	0.792	0.689	0.992	9
208	20971496	6.990499	-105.389	-0.611	0.887	0.891	0.884	0.987	2
209	20982764	6.994255	-84.311	79.118	0.832	0.917	0.747	0.992	6
210	20986678	6.995559	-90.115	-86.449	0.506	0.597	0.415	0.991	2
211	21056718	7.018906	-112.109	120.662	0.739	0.824	0.653	0.994	9
212	21131318	7.043773	-158.236	177.175	0.685	0.796	0.573	0.987	5
213	21183956	7.061319	-106.916	114.553	0.571	0.696	0.445	0.985	2
214	21195404	7.065135	85.838	-90.420	0.815	0.865	0.765	0.992	7
215	21234596	7.078199	-96.530	-95.002	0.588	0.613	0.562	0.979	2
216	21387811	7.129270	-159.152	173.815	0.770	0.793	0.747	0.990	6
217	21441897	7.147299	-92.864	-86.144	0.743	0.804	0.682	0.972	4
218	21465105	7.155035	-94.086	-84.616	0.779	0.870	0.687	0.990	3
219	21671439	7.223813	-106.000	125.244	0.850	0.850	0.849	0.994	9
220	21753550	7.251183	123.106	-121.579	0.810	0.732	0.889	0.972	5
221	21786641	7.262214	-97.752	-89.198	0.699	0.762	0.635	0.988	3
222	21797702	7.265901	-115.775	121.579	0.581	0.755	0.406	0.992	2
223	21862805	7.287602	-77.285	22.300	0.916	0.936	0.896	0.991	7
224	21884425	7.294808	-108.443	116.386	0.684	0.787	0.582	0.991	4
225	21903204	7.301068	-97.752	-90.420	0.679	0.732	0.627	0.971	5
226	21957617	7.319206	-157.930	170.455	0.703	0.772	0.635	0.988	7
227	22102144	7.367381	-171.676	188.478	0.499	0.552	0.446	0.982	3
228	22106431	7.368810	-167.705	212.915	0.735	0.759	0.712	0.992	6
229	22136134	7.378711	-166.483	183.590	0.721	0.731	0.711	0.988	7
230	22161008	7.387003	-155.486	176.564	0.769	0.827	0.711	0.989	3
231	22211647	7.403882	105.694	-95.002	0.796	0.763	0.829	0.992	3
232	22261759	7.420586	-156.097	165.872	0.812	0.828	0.796	0.990	9
233	22364048	7.454683	-213.526	232.466	0.726	0.708	0.744	0.966	10
234	22373625	7.457875	-159.457	177.175	0.690	0.763	0.618	0.993	5
235	22394099	7.464700	-114.858	126.161	0.772	0.842	0.703	0.990	8
236	22400956	7.466985	-156.403	173.204	0.576	0.676	0.477	0.991	4
237	22408865	7.469622	-96.530	-93.170	0.499	0.572	0.426	0.972	2
238	22515274	7.505091	-212.304	-206.195	0.506	0.606	0.407	0.964	2
239	22561706	7.520569	-162.207	183.284	0.583	0.641	0.525	0.988	3
240	22583676	7.527892	-93.781	-92.253	0.751	0.761	0.740	0.955	5
241	22681606	7.560535	137.463	-120.051	0.763	0.685	0.842	0.995	9
242	22701084	7.567028	-113.636	112.414	0.784	0.870	0.698	0.994	8
243	22726916	7.575639	96.224	-108.138	0.758	0.709	0.807	0.991	3
244	22857149	7.619050	-89.504	93.781	0.807	0.858	0.756	0.990	2
245	22928945	7.642982	-91.948	2.444	0.747	0.818	0.677	0.992	2
246	22992833	7.664278	-194.587	229.717	0.448	0.402	0.493	0.988	2
247	23029032	7.676344	-151.515	147.849	0.825	0.865	0.786	0.995	10
248	23064527	7.688176	-109.360	107.832	0.820	0.850	0.791	0.941	9
249	23109767	7.703256	234.604	-215.665	0.801	0.802	0.800	0.969	9
250	23135854	7.711951	-214.137	235.215	0.813	0.798	0.829	0.952	2
251	23147873	7.715958	233.077	-222.996	0.539	0.643	0.435	0.987	2
252	23155881	7.718627	72.397	-87.366	0.873	0.862	0.885	0.951	3
253	23189138	7.729713	170.455	-158.236	0.796	0.784	0.807	0.991	9
254	23207518	7.735839	-67.204	-23.827	0.747	0.903	0.591	0.993	6
255	23273515	7.757838	-60.178	20.161	0.825	0.869	0.781	0.988	7
256	23294434	7.764811	-84.311	51.320	0.750	0.915	0.585	0.992	3
257	23303092	7.767697	-97.141	-95.919	0.527	0.597	0.458	0.979	3
258	23349653	7.783218	-154.570	180.841	0.656	0.694	0.619	0.990	5
259	23429408	7.809803	85.533	-76.369	0.809	0.775	0.843	0.987	2
260	23453478	7.817826	-154.875	175.037	0.618	0.741	0.495	0.993	4
261	23475305	7.825102	-161.290	182.674	0.705	0.705	0.705	0.897	8
262	23485287	7.828429	-163.123	183.590	0.725	0.702	0.747	0.983	6
263	23513361	7.837787	-121.579	128.605	0.714	0.824	0.605	0.979	3
264	23550811	7.850270	-197.031	175.037	0.835	0.833	0.837	0.992	9
265	23568426	7.856142	117.608	-123.412	0.787	0.712	0.862	0.902	4
266	23585747	7.861916	-106.305	107.527	0.742	0.817	0.666	0.959	9
267	23593898	7.864633	85.533	-87.060	0.723	0.689	0.756	0.992	2
268	23609664	7.869888	112.414	-115.775	0.793	0.726	0.859	0.991	6
269	23687639	7.895880	-65.066	-26.576	0.901	0.929	0.873	0.980	5
270	23725496	7.908499	-87.671	-79.423	0.715	0.858	0.572	0.991	2
271	23727615	7.909205	-123.106	125.855	0.918	0.911	0.924	0.993	9
272	23730920	7.910307	-156.708	176.870	0.645	0.759	0.531	0.995	5
273	23734356	7.911452	-159.152	183.895	0.781	0.799	0.763	0.994	9
274	23740011	7.913337	235.521	-215.970	0.625	0.724	0.526	0.932	2
